order_id,customer_id,order_date,status,amount_cents
1,1,2023-02-01,completed,7298
2,2,2023-02-10,completed,8999
3,3,2023-02-15,completed,4098
4,1,2023-03-01,completed,15498
5,5,2023-03-05,completed,2499
6,4,2023-03-12,returned,1299
7,6,2023-03-20,completed,3499
8,7,2023-04-01,completed,16498
9,8,2023-04-05,completed,5498
10,3,2023-04-10,completed,8999
11,9,2023-04-15,completed,2199
12,10,2023-04-20,completed,14998
13,2,2023-05-01,completed,3499
14,11,2023-05-05,completed,1999
15,12,2023-05-10,completed,7498
16,5,2023-05-15,returned,1599
17,13,2023-05-20,completed,12999
18,14,2023-06-01,completed,4198
19,1,2023-06-05,completed,5999
20,15,2023-06-10,completed,1899
21,6,2023-06-15,completed,11298
22,7,2023-06-20,completed,2499
23,4,2023-07-01,completed,3998
24,8,2023-07-05,completed,8999
25,10,2023-07-10,completed,5498
26,11,2023-07-15,completed,3499
27,12,2023-07-20,completed,1299
28,3,2023-08-01,completed,16498
29,14,2023-08-05,completed,4598
30,9,2023-08-10,completed,1599
