order_item_id,order_id,product_id,quantity,price_cents
1,1,1,1,5999
2,1,2,1,1299
3,2,4,1,8999
4,3,3,1,2499
5,3,6,1,899
6,3,5,1,699
7,4,7,1,12999
8,4,5,1,1599
9,4,2,1,1299
10,5,3,1,2499
11,6,2,1,1299
12,7,8,1,3499
13,8,7,1,12999
14,8,13,1,3499
15,9,10,1,1999
16,9,2,1,1299
17,9,6,1,899
18,9,11,1,1299
19,10,4,1,8999
20,11,9,1,2199
21,12,7,1,12999
22,12,10,1,1999
23,13,8,1,3499
24,14,11,1,1799
25,15,4,1,8999
26,15,15,1,1500
27,16,5,1,1599
28,17,7,1,12999
29,18,3,1,2499
30,18,14,1,1699
31,19,1,1,5999
32,20,15,1,1899
33,21,7,1,12999
34,21,10,1,299
35,22,3,1,2499
36,23,2,1,1299
37,23,14,1,2699
38,24,4,1,8999
39,25,13,1,3499
40,25,11,1,1999
41,26,8,1,3499
42,27,2,1,1299
43,28,7,1,12999
44,28,4,1,3499
45,29,14,1,1999
46,29,3,1,2599
47,30,5,1,1599
